time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.033,159.5,0.22,46.3,0.0,0.22,189.5,46.3,,,,,157.56505831709444,
10.054,159.5,0.223,46.6,0.021000000000000796,0.223,189.5,46.6,,,,,157.5438978790454,
10.077,159.5,0.224,47.0,0.04400000000000048,0.224,189.5,47.0,,,,,157.55048813431534,
10.097,159.5,0.227,47.4,0.06400000000000006,0.227,189.5,47.4,,,,,157.53350928391254,
10.117,159.5,0.229,48.0,0.0840000000000014,0.229,189.5,48.0,,,,,157.53760558733143,
10.134,159.5,0.234,48.7,0.10100000000000087,0.234,189.5,48.7,,,,,157.51003033563703,
10.155,159.5,0.235,49.3,0.12199999999999989,0.235,189.5,49.3,,,,,157.52651540827947,
10.173,159.4,0.238,49.9,0.14000000000000057,0.238,189.4,49.9,,,,,157.51844637103324,
10.191,159.3,0.24,50.5,0.15800000000000125,0.24,189.3,50.5,,,,,157.52282663108062,
10.216,159.1,0.242,50.9,0.18299999999999983,0.242,189.1,50.9,,,,,157.51740845047084,
10.237,158.9,0.246,51.1,0.20400000000000063,0.246,188.9,51.1,,,,,157.47621752553692,
10.257,158.6,0.25,51.0,0.2240000000000002,0.25,188.6,51.0,,,,,157.41858987447415,
10.272,158.3,0.253,50.8,0.23900000000000077,0.253,188.3,50.8,,,,,157.36790760588426,
10.294,158.0,0.258,50.6,0.261000000000001,0.258,188.0,50.6,,,,,157.28817394650292,
10.314,157.7,0.261,50.4,0.2810000000000006,0.261,187.7,50.4,,,,,157.23487287343107,
10.33,157.5,0.263,50.2,0.2970000000000006,0.263,187.5,50.2,,,,,157.19523642517572,
10.356,157.3,0.268,49.9,0.3230000000000004,0.268,187.3,49.9,,,,,157.10478841138232,
10.376,157.1,0.273,50.1,0.34299999999999997,0.273,187.1,50.1,,,,,157.0390216981831,
10.394,157.0,0.275,50.5,0.36100000000000065,0.275,187.0,50.5,,,,,157.0298758757952,
10.417,156.8,0.279,50.8,0.38400000000000034,0.279,186.8,50.8,,,,,156.9833911419962,
10.434,156.6,0.284,50.9,0.4009999999999998,0.284,186.6,50.9,,,,,156.90823122529335,
10.452,156.4,0.289,51.1,0.4190000000000005,0.289,186.4,51.1,,,,,156.83680248997254,
10.47,156.2,0.293,51.3,0.43700000000000117,0.293,186.2,51.3,,,,,156.78065440103416,
10.491,155.9,0.297,51.5,0.4580000000000002,0.297,185.9,51.5,,,,,156.7233668887894,
10.515,155.6,0.301,51.2,0.4820000000000011,0.301,185.6,51.2,,,,,156.6349490226911,
10.535,155.3,0.305,50.7,0.5020000000000007,0.305,185.3,50.7,,,,,156.53257816148914,
10.556,155.1,0.308,50.3,0.5229999999999997,0.308,185.1,50.3,,,,,156.45290030660104,
10.576,155.0,0.313,50.3,0.543000000000001,0.313,185.0,50.3,,,,,156.35868933245175,
10.597,154.8,0.321,50.7,0.5640000000000001,0.321,184.8,50.7,,,,,156.22866169316453,
10.614,154.7,0.324,50.8,0.5810000000000013,0.324,184.7,50.8,,,,,156.17552976401626,
10.632,154.5,0.327,51.1,0.5990000000000002,0.327,184.5,51.1,,,,,156.13459882067994,
10.651,154.3,0.333,51.2,0.6180000000000003,0.333,184.3,51.2,,,,,156.01851764790538,
10.674,154.1,0.338,51.2,0.641,0.338,184.1,51.2,,,,,155.91395763495092,
10.696,153.9,0.341,51.4,0.6630000000000003,0.341,183.9,51.4,,,,,155.86354828643977,
10.716,153.8,0.348,51.4,0.6829999999999998,0.348,183.8,51.4,,,,,155.7117960430058,
10.729,153.6,0.352,51.4,0.6959999999999997,0.352,183.6,51.4,,,,,155.62312007063545,
10.753,153.3,0.357,51.4,0.7200000000000006,0.357,183.3,51.4,,,,,155.51027014582667,
10.769,153.1,0.362,51.3,0.7360000000000007,0.362,183.1,51.3,,,,,155.38812531536368,
10.794,152.9,0.366,51.0,0.761000000000001,0.366,182.9,51.0,,,,,155.27298530295224,
10.811,152.7,0.372,50.8,0.7780000000000005,0.372,182.7,50.8,,,,,155.11491899372524,
10.834,152.6,0.377,50.7,0.8010000000000002,0.377,182.6,50.7,,,,,154.98530969663648,
10.848,152.5,0.382,50.9,0.8150000000000013,0.382,182.5,50.9,,,,,154.87552787264292,
10.875,152.4,0.387,51.1,0.8420000000000005,0.387,182.4,51.1,,,,,154.76387483042492,
10.888,152.3,0.391,51.5,0.8550000000000004,0.391,182.3,51.5,,,,,154.69138862296577,
10.916,152.1,0.396,51.7,0.8830000000000009,0.396,182.1,51.7,,,,,154.57658463874156,
10.932,152.0,0.402,51.8,0.8990000000000009,0.402,182.0,51.8,,,,,154.42546302595497,
10.953,151.8,0.406,51.8,0.9199999999999999,0.406,181.8,51.8,,,,,154.317820199145,
10.974,151.6,0.411,51.5,0.9410000000000007,0.411,181.6,51.5,,,,,154.1574682148682,
10.994,151.4,0.417,51.1,0.9610000000000003,0.417,181.4,51.1,,,,,153.95821527454393,
11.014,151.3,0.422,50.9,0.9809999999999999,0.422,181.3,50.9,,,,,153.79991135506373,
11.035,151.2,0.427,51.0,1.0020000000000007,0.427,181.2,51.0,,,,,153.66363666473225,
11.055,151.1,0.432,51.1,1.0220000000000002,0.432,181.1,51.1,,,,,153.52531110641505,
11.072,151.1,0.437,51.4,1.0389999999999997,0.437,181.1,51.4,,,,,153.40169971439565,
11.093,151.0,0.442,51.7,1.0600000000000005,0.442,181.0,51.7,,,,,153.27639953905353,
11.111,150.8,0.446,52.0,1.0780000000000012,0.446,180.8,52.0,,,,,153.18007333811224,
11.133,150.7,0.45,52.0,1.0999999999999996,0.45,180.7,52.0,,,,,153.05688765139263,
11.15,150.5,0.456,51.8,1.1170000000000009,0.456,180.5,51.8,,,,,152.85198730326678,
11.174,150.4,0.461,51.5,1.141,0.461,180.4,51.5,,,,,152.66672591216604,
11.194,150.3,0.465,51.3,1.1610000000000014,0.465,180.3,51.3,,,,,152.5200922601824,
11.215,150.2,0.471,51.0,1.1820000000000004,0.471,180.2,51.0,,,,,152.29695253120414,
11.227,150.1,0.476,51.0,1.1940000000000008,0.476,180.1,51.0,,,,,152.1307316262584,
11.253,150.1,0.479,51.2,1.2200000000000006,0.479,180.1,51.2,,,,,152.0481632008672,
11.272,150.0,0.483,51.5,1.2390000000000008,0.483,180.0,51.5,,,,,151.94022473000172,
11.293,149.9,0.488,51.7,1.2599999999999998,0.488,179.9,51.7,,,,,151.78765915154744,
11.314,149.8,0.495,51.8,1.2810000000000006,0.495,179.8,51.8,,,,,151.55398844693534,
11.333,149.7,0.499,51.8,1.3000000000000007,0.499,179.7,51.8,,,,,151.41319695893995,
11.354,149.6,0.501,51.6,1.3209999999999997,0.501,179.6,51.6,,,,,151.323244342024,
11.373,149.5,0.505,51.5,1.3399999999999999,0.505,179.5,51.5,,,,,151.17059464457463,
11.395,149.5,0.51,51.3,1.362,0.51,179.5,51.3,,,,,150.97033412666852,
11.413,149.4,0.514,51.3,1.3800000000000008,0.514,179.4,51.3,,,,,150.8238451363163,
11.432,149.3,0.519,51.2,1.399000000000001,0.519,179.3,51.2,,,,,150.62890824735882,
11.453,149.3,0.522,51.3,1.42,0.522,179.3,51.3,,,,,150.52658990900727,
11.474,149.2,0.527,51.4,1.4410000000000007,0.527,179.2,51.4,,,,,150.34787180143263,
11.494,149.1,0.531,51.3,1.4610000000000003,0.531,179.1,51.3,,,,,150.1853609165086,
11.515,149.1,0.534,51.3,1.482000000000001,0.534,179.1,51.3,,,,,150.07001395153233,
11.533,149.0,0.537,51.2,1.5,0.537,179.0,51.2,,,,,149.94372846145538,
11.542,149.0,0.541,51.2,1.5090000000000003,0.541,179.0,51.2,,,,,149.78754547742264,
11.571,148.9,0.543,51.3,1.5380000000000003,0.543,178.9,51.3,,,,,149.71916115417338,
11.592,148.9,0.548,51.4,1.559000000000001,0.548,178.9,51.4,,,,,149.5314550609574,
11.612,148.8,0.552,51.4,1.5790000000000006,0.552,178.8,51.4,,,,,149.3714916451776,
11.633,148.8,0.554,51.4,1.5999999999999996,0.554,178.8,51.4,,,,,149.29097528146212,
11.654,148.7,0.558,51.5,1.6210000000000004,0.558,178.7,51.5,,,,,149.139381060189,
11.674,148.7,0.56,51.5,1.641,0.56,178.7,51.5,,,,,149.0578304792325,
11.691,148.6,0.563,51.4,1.6580000000000013,0.563,178.6,51.4,,,,,148.92424073418155,
11.712,148.6,0.566,51.3,1.6790000000000003,0.566,178.6,51.3,,,,,148.7897451147321,
11.731,148.6,0.567,51.4,1.6980000000000004,0.567,178.6,51.4,,,,,148.75893076014603,
11.752,148.6,0.571,51.5,1.7190000000000012,0.571,178.6,51.5,,,,,148.60293096871706,
11.773,148.5,0.574,51.5,1.7400000000000002,0.574,178.5,51.5,,,,,148.4769961704597,
