time,length,pressure,force,time_contraction,pressure_contraction,length_contraction,force_contraction,time_extension,pressure_extension,length_extension,force_extension,estimated_contraction_length,estimated_extension_length
10.015,155.2,0.428,46.5,0.0,0.428,182.2,46.5,,,,,155.1802079537783,
10.034,155.2,0.428,46.6,0.019000000000000128,0.428,182.2,46.6,,,,,155.19233060280155,
10.059,155.2,0.432,46.6,0.04399999999999871,0.432,182.2,46.6,,,,,155.06776359517693,
10.079,155.1,0.433,46.9,0.06400000000000006,0.433,182.1,46.9,,,,,155.0732056458644,
10.099,155.1,0.435,47.5,0.08399999999999963,0.435,182.1,47.5,,,,,155.08421764989836,
10.116,155.1,0.438,48.1,0.10099999999999909,0.438,182.1,48.1,,,,,155.06395941094556,
10.137,155.1,0.44,48.6,0.12199999999999989,0.44,182.1,48.6,,,,,155.06289390375485,
10.146,155.0,0.443,49.2,0.13100000000000023,0.443,182.0,49.2,,,,,155.04277290693832,
10.176,154.8,0.445,49.6,0.1609999999999996,0.445,181.8,49.6,,,,,155.02938237468015,
10.193,154.6,0.449,49.7,0.17799999999999905,0.449,181.6,49.7,,,,,154.91419916716637,
10.218,154.4,0.45,49.8,0.2029999999999994,0.45,181.4,49.8,,,,,154.89468804652768,
10.232,154.2,0.456,49.5,0.21699999999999875,0.456,181.2,49.5,,,,,154.66061488929762,
10.257,153.9,0.46,49.2,0.2419999999999991,0.46,180.9,49.2,,,,,154.48852330656715,
10.277,153.7,0.461,49.6,0.2619999999999987,0.461,180.7,49.6,,,,,154.5073472281823,
10.297,153.4,0.465,49.5,0.28200000000000003,0.465,180.4,49.5,,,,,154.3591630366876,
10.317,153.2,0.468,48.9,0.3019999999999996,0.468,180.2,48.9,,,,,154.17647314690063,
10.338,152.9,0.473,49.1,0.3229999999999986,0.473,179.9,49.1,,,,,154.029506110869,
10.357,152.7,0.475,49.5,0.34199999999999875,0.475,179.7,49.5,,,,,154.01367879141725,
10.378,152.5,0.478,49.3,0.36299999999999955,0.478,179.5,49.3,,,,,153.88045002714222,
10.394,152.3,0.483,49.1,0.37899999999999956,0.483,179.3,49.1,,,,,153.67372691310055,
10.407,152.0,0.489,49.3,0.39199999999999946,0.489,179.0,49.3,,,,,153.48316361686355,
10.434,151.8,0.493,49.5,0.4189999999999987,0.493,178.8,49.5,,,,,153.36385440174834,
10.443,151.6,0.495,49.7,0.42799999999999905,0.495,178.6,49.7,,,,,153.31803511499257,
10.476,151.3,0.5,49.5,0.4610000000000003,0.5,178.3,49.5,,,,,153.10143910153604,
10.498,151.1,0.506,49.5,0.48299999999999876,0.506,178.1,49.5,,,,,152.87218568080203,
10.518,150.8,0.508,49.8,0.5030000000000001,0.508,177.8,49.8,,,,,152.83915893193517,
10.539,150.6,0.511,49.6,0.5239999999999991,0.511,177.6,49.6,,,,,152.69296344894508,
10.554,150.3,0.517,49.2,0.5389999999999997,0.517,177.3,49.2,,,,,152.39621911881954,
10.573,150.1,0.521,49.3,0.5579999999999998,0.521,177.1,49.3,,,,,152.25110589293476,
