time,p,voltage
10608,17.2,45.60
10628,16.5,45.60
10649,15.8,45.80
10670,15.3,45.80
10690,14.5,46.10
10711,13.9,46.00
10727,13.4,45.70
10747,12.8,46.00
10768,12.1,46.10
10788,11.5,46.10
10809,10.9,46.10
10830,10.4,46.20
10850,9.8,46.10
10870,9.5,45.80
10887,9.0,45.80
10908,8.5,46.00
10927,8.0,46.10
10948,7.5,46.00
10968,7.3,45.80
10989,6.8,45.50
11009,6.3,45.40
11029,6.0,45.60
11050,5.5,46.00
11066,5.3,46.10
11088,4.9,46.00
11108,4.7,45.60
11128,4.4,45.30
11149,4.2,45.50
11169,3.8,45.90
11189,3.6,45.90
11206,3.5,45.60
11227,3.2,45.60
11248,3.0,45.70
11268,3.0,45.70
11289,2.9,45.80
11309,2.6,45.80
11329,2.6,45.70
11346,2.5,45.80
11366,2.4,45.80
11386,2.4,45.70
11407,2.2,45.90
11428,2.2,46.10
11447,2.1,46.00
11468,2.2,45.90
11488,2.2,46.00
11509,2.2,46.00
11526,2.2,46.00
11545,2.4,46.10
11567,2.5,46.20
11587,2.5,46.30
11607,2.5,46.50
11628,2.7,46.80
11648,2.9,47.20
11664,3.0,47.60
11685,3.2,48.10
11707,3.3,48.60
11727,3.6,49.00
11747,3.7,49.40
11767,4.0,49.70
11788,4.2,49.80
11808,4.4,49.90
11825,4.6,49.90
11847,4.8,50.00
11866,5.2,50.10
11886,5.4,50.10
11907,5.5,50.10
11927,5.9,50.10
11947,6.2,50.20
11968,6.5,50.20
11988,7.0,50.80
12005,7.6,51.80
12025,7.9,51.40
12046,8.7,50.00
12066,9.2,50.10
12087,9.6,51.40
12107,10.2,50.50
12127,10.7,50.80
12147,11.3,50.90
12165,11.9,51.00
12186,12.3,51.30
12207,13.2,50.90
12227,13.6,51.60
12247,14.1,52.20
12267,15.0,49.60
12287,15.6,50.20
12305,16.1,51.20
12326,17.0,51.00
12346,17.5,52.20
12366,17.9,52.90
12387,18.9,49.80
12407,19.7,50.00
12427,20.1,52.30
12447,20.8,51.90
12464,22.0,50.60
12484,22.3,53.20
12504,22.8,53.60
12525,24.0,50.50
12545,24.5,51.40
12566,25.2,51.90
12586,26.3,50.20
12606,26.7,52.50
12627,27.4,52.40
12646,28.2,51.40
12665,28.9,51.90
12685,29.6,51.40
12705,30.5,51.50
12725,31.2,51.90
12746,31.9,51.10
12766,32.4,51.60
12783,33.4,51.80
12803,34.0,51.30
12824,34.8,52.00
12844,35.7,51.20
12865,36.2,51.80
12885,37.1,51.20
12905,38.0,50.80
12922,38.7,51.90
12942,39.3,52.20
12963,40.1,51.40
12983,40.9,51.60
13004,41.5,51.80
13025,42.2,51.20
13046,43.1,51.40
13066,43.7,51.90
13082,44.0,51.60
13102,44.5,51.90
13123,45.4,51.70
13143,45.9,51.80
13165,46.6,51.70
13185,47.3,51.20
13205,47.9,51.70
13225,48.4,51.80
13242,49.0,51.80
13262,49.5,51.90
13282,50.1,51.70
13303,50.6,51.70
13324,51.2,51.50
13344,51.7,51.60
13364,52.3,51.60
13385,52.8,51.70
13405,53.3,51.90
13422,53.6,51.50
13443,54.2,51.30
13463,54.5,51.60
13484,54.9,51.70
13504,55.4,51.80
13524,55.6,51.80
13545,56.0,51.60
13560,56.6,51.30
13582,56.7,51.60
13602,56.9,51.80
13622,57.4,51.50
13645,57.6,51.30
13663,57.8,51.40
13684,58.1,51.70
13704,58.2,51.90
13725,58.5,51.70
13745,58.7,51.40
13762,58.9,51.30
13783,58.9,51.30
13803,59.1,51.30
13823,59.4,51.40
13844,59.4,51.50
13864,59.3,51.80
13884,59.4,51.70
13902,59.7,51.40
13923,59.6,51.30
13943,59.6,51.50
13963,59.7,51.50
13984,59.6,51.30
14004,59.4,51.20
14024,59.4,51.00
14044,59.3,50.90
14061,59.3,50.80
14081,59.1,50.60
14102,58.9,50.40
14123,58.8,50.00
14143,58.7,49.70
14164,58.6,49.40
14184,58.3,49.10
14204,58.1,48.60
14222,58.0,48.30
14241,57.7,47.90
14262,57.7,47.70
14282,57.5,47.60
14303,57.4,47.60
14323,57.0,47.50
14345,56.7,47.30
14361,56.5,47.10
14381,56.1,46.90
14400,55.5,46.70
14422,55.2,46.50
14442,54.8,46.50
14462,54.4,46.70
14483,54.1,46.80
14503,53.6,46.80
14523,53.0,46.70
14543,52.5,46.40
14560,51.9,46.00
14581,51.5,45.70
14602,51.1,45.60
14622,50.4,45.90
14642,49.7,46.20
14663,49.2,46.20
14679,48.7,46.10
14699,47.9,45.90
14720,47.3,45.70
14741,46.5,45.30
14761,46.1,44.90
