time,p,voltage
10.329,-0.002,0.59
10.345,-0.002,0.44
10.366,-0.002,0.27
10.387,-0.002,0.1
10.406,0.005,-0.07
10.427,-0.002,0.15
10.448,0.007,-0.41
10.468,-0.002,-0.15
10.488,-0.003,-0.76
10.509,-0.002,-1
10.526,-0.002,-1.11
10.546,-0.002,-1.3
10.567,-0.002,-1.48
10.587,-0.003,-1.67
10.609,-0.002,-1.92
10.628,-0.001,-2.04
10.648,-0.003,-2.19
10.665,-0.002,-2.51
10.685,-0.002,-2.62
10.706,-0.003,-2.82
10.726,-0.002,-3.1
10.747,-0.001,-3.24
10.767,-0.003,-3.36
10.787,-0.001,-3.7
10.808,-0.002,-3.79
10.829,-0.002,-4.05
10.845,-0.003,-4.24
10.866,-0.002,-4.53
10.886,-0.002,-4.68
10.909,-0.001,-4.89
10.929,-0.002,-5.04
10.947,-0.002,-5.32
10.968,-0.003,-5.53
10.984,-0.002,-5.81
11.004,-0.003,-5.99
11.025,-0.001,-6.25
11.046,-0.002,-6.34
11.066,-0.002,-6.64
11.087,-0.002,-6.86
11.107,-0.002,-7.07
11.127,-0.002,-7.29
11.144,-0.002,-7.53
11.164,-0.001,-7.75
11.184,-0.002,-7.9
11.206,-0.003,-8.2
11.226,-0.002,-8.48
11.246,-0.001,-8.65
11.267,-0.002,-8.79
11.283,-0.003,-9.1
11.304,-0.002,-9.39
11.324,-0.002,-9.55
11.344,-0.001,-9.8
11.367,-0.003,-9.94
11.388,-0.002,-10.29
11.408,-0.002,-10.46
11.428,-0.002,-10.7
11.448,-0.001,-10.93
11.466,-0.002,-11.09
11.486,-0.002,-11.36
11.504,-0.002,-11.6
11.525,-0.001,-11.83
11.546,-0.002,-11.99
11.566,-0.002,-12.3
11.586,0,-12.52
11.603,-0.002,-12.62
11.624,-0.003,-12.95
11.644,-0.002,-13.25
11.664,-0.001,-13.41
11.685,-0.002,-13.57
11.706,-0.001,-13.86
11.726,-0.002,-14.02
11.746,-0.001,-14.3
11.762,-0.002,-14.44
11.783,-0.003,-14.73
11.803,-0.002,-15.01
11.824,-0.001,-15.16
11.844,-0.003,-15.33
11.865,-0.002,-15.66
11.886,-0.002,-15.81
11.906,-0.002,-16.02
11.922,-0.002,-16.23
11.943,-0.003,-16.43
11.964,-0.002,-16.7
11.984,-0.002,-16.86
12.004,0,-17.06
12.025,-0.002,-17.14
12.045,-0.001,-17.46
12.065,-0.003,-17.59
12.082,-0.002,-17.91
12.102,-0.002,-18.04
12.123,-0.001,-18.25
12.144,-0.002,-18.37
12.164,-0.002,-18.62
12.185,-0.002,-18.81
12.205,-0.001,-18.99
12.225,-0.002,-19.11
12.242,-0.001,-19.35
12.262,-0.002,-19.48
12.283,-0.003,-19.72
12.303,-0.002,-19.95
12.324,-0.002,-20.06
12.344,-0.002,-20.23
12.364,-0.001,-20.39
12.385,-0.001,-20.5
12.401,-0.003,-20.67
12.423,-0.002,-20.95
12.443,-0.001,-21.05
12.463,-0.001,-21.14
12.484,-0.001,-21.29
12.504,-0.001,-21.44
12.525,-0.002,-21.58
12.545,-0.001,-21.8
12.561,-0.002,-21.88
12.581,-0.002,-22.08
12.602,-0.002,-22.21
12.622,-0.001,-22.35
12.644,-0.002,-22.41
12.664,-0.002,-22.6
12.685,-0.002,-22.73
12.7,-0.002,-22.85
12.724,-0.002,-22.97
12.744,-0.003,-23.08
12.763,-0.003,-23.27
12.783,-0.003,-23.37
12.802,-0.003,-23.47
12.823,-0.002,-23.58
12.844,-0.003,-23.62
12.864,-0.002,-23.78
12.881,-0.002,-23.81
12.901,-0.002,-23.91
12.921,-0.003,-23.99
12.942,-0.003,-24.13
12.962,-0.002,-24.22
12.983,-0.001,-24.24
13.003,-0.001,-24.25
13.024,-0.002,-24.32
13.041,-0.002,-24.45
13.061,-0.002,-24.51
13.081,-0.002,-24.57
13.102,-0.001,-24.64
13.122,-0.002,-24.63
13.144,-0.002,-24.74
13.163,-0.001,-24.79
13.182,-0.001,-24.77
13.201,-0.002,-24.81
13.221,-0.002,-24.91
13.241,-0.002,-24.95
13.262,-0.002,-24.98
13.282,-0.002,-25
13.303,-0.002,-25.03
13.323,-0.002,-25.05
13.34,-0.002,-25.06
13.36,-0.003,-25.08
13.38,-0.001,-25.15
13.401,-0.001,-25.03
13.421,0,-25.04
13.442,-0.003,-24.97
13.463,-0.001,-25.15
13.483,-0.002,-25.02
13.499,-0.001,-25.07
13.52,-0.002,-25
13.54,-0.002,-25.04
13.561,-0.002,-25.02
13.582,-0.002,-25
13.602,-0.002,-24.96
13.623,0,-24.93
13.642,-0.003,-24.78
13.66,-0.002,-24.92
13.68,-0.002,-24.82
13.7,-0.002,-24.77
13.72,-0.002,-24.72
13.741,-0.002,-24.67
13.761,-0.002,-24.61
13.781,-0.002,-24.56
13.802,-0.001,-24.5
13.819,-0.003,-24.37
13.84,-0.002,-24.42
13.859,-0.002,-24.29
13.881,-0.002,-24.2
13.901,-0.002,-24.13
13.921,-0.002,-24.04
13.942,-0.001,-23.97
13.962,-0.002,-23.81
13.983,-0.003,-23.78
13.999,-0.003,-23.75
14.019,-0.002,-23.64
14.041,-0.003,-23.48
14.06,-0.002,-23.44
14.081,-0.003,-23.28
14.101,-0.002,-23.22
14.121,-0.002,-23.05
14.139,-0.002,-22.93
14.158,-0.002,-22.8
14.179,-0.002,-22.68
14.2,-0.002,-22.56
14.221,-0.002,-22.43
14.241,-0.001,-22.3
14.261,-0.003,-22.11
14.281,-0.001,-22.09
14.298,-0.002,-21.82
14.32,-0.003,-21.74
14.339,-0.003,-21.66
14.359,-0.003,-21.51
14.38,-0.003,-21.35
14.4,-0.001,-21.21
14.42,-0.001,-20.93
14.441,-0.002,-20.76
14.461,-0.002,-20.66
14.478,-0.003,-20.5
14.499,-0.003,-20.4
14.52,-0.001,-20.22
14.541,-0.002,-19.94
14.559,-0.002,-19.83
14.58,-0.002,-19.64
14.601,-0.002,-19.47
14.617,-0.002,-19.29
14.638,-0.003,-19.11
14.658,-0.002,-18.98
14.679,-0.001,-18.73
14.7,-0.002,-18.5
14.721,-0.001,-18.36
14.742,-0.003,-18.11
14.76,-0.002,-18.04
14.777,-0.002,-17.78
14.797,-0.002,-17.57
14.818,-0.002,-17.37
14.839,-0.002,-17.19
14.86,-0.002,-16.97
14.88,-0.001,-16.77
14.899,-0.002,-16.51
14.921,-0.003,-16.36
14.938,-0.002,-16.2
14.957,-0.002,-15.93
14.978,-0.001,-15.72
14.998,-0.003,-15.45
